4020.5s 232 Applying LS move: opt=2exchange, delta=-2.0429, current_len=4
4020.5s 233 Applying LS move: opt=2exchange, delta=-3.6933, current_len=4
4020.5s 234 Applying LS move: opt=oropt_single, delta=-1.6483, current_len=4
4020.5s 235 Applying LS move: opt=2opt*, delta=-10.6528, current_len=4
4020.5s 236 Applying LS move: opt=oropt_single, delta=-4.8148, current_len=4
4020.5s 237 Applying LS move: opt=2opt, delta=-2.8523, current_len=4
4020.5s 238 Applying LS move: opt=oropt_single, delta=-3.2074, current_len=4
4020.5s 239 Applying LS move: opt=2opt, delta=-1.3541, current_len=4
4020.5s 240 Applying LS move: opt=oropt_single, delta=-0.4964, current_len=4
4020.5s 241 Applying LS move: opt=2exchange, delta=-5.9727, current_len=4
4020.5s 242 Applying LS move: opt=2exchange, delta=-2.8613, current_len=4
4020.5s 243 Applying LS move: opt=2exchange, delta=-0.9760, current_len=4
4020.5s 244 Applying LS move: opt=2opt, delta=-2.9781, current_len=4
4020.5s 245 Applying LS move: opt=2opt, delta=-0.5371, current_len=4
4020.5s 246 Applying LS move: opt=2exchange, delta=-0.3859, current_len=4
4020.5s 247 Gen: 875. a 0.2520, p_hybrid 0.1500, accepted 24. Avg 22442.3758, Best 2048.0833, Worst 44470.9728, Best vehicles 1
4020.5s 248 Gen 875 done, no improvement for 25 gens, already consumed 525 sec
4020.5s 249 Periodic deep local search on global best.
4020.5s 250 Applying LS move: opt=2exchange, delta=-55.1879, current_len=4
4020.5s 251 Applying LS move: opt=2opt*, delta=-52.6957, current_len=4
4020.5s 252 Applying LS move: opt=2exchange, delta=-52.3008, current_len=4
4020.5s 253 Applying LS move: opt=2exchange, delta=-34.1292, current_len=4
4020.5s 254 Applying LS move: opt=2opt*, delta=-33.8868, current_len=4
4020.5s 255 Applying LS move: opt=2exchange, delta=-33.1147, current_len=4
4020.5s 256 Applying LS move: opt=2opt*, delta=-31.9773, current_len=4
4020.5s 257 Applying LS move: opt=2opt*, delta=-25.9508, current_len=4
4020.5s 258 Applying LS move: opt=2exchange, delta=-23.2299, current_len=4
4020.5s 259 Applying LS move: opt=oropt_single, delta=-39.1414, current_len=4
4020.5s 260 Applying LS move: opt=2opt*, delta=-21.1720, current_len=4
4020.5s 261 Applying LS move: opt=2exchange, delta=-20.0025, current_len=4
4020.5s 262 Applying LS move: opt=2opt*, delta=-18.2742, current_len=4
4020.5s 263 Applying LS move: opt=oropt_single, delta=-23.9668, current_len=4
4020.5s 264 Applying LS move: opt=2exchange, delta=-16.4265, current_len=4
4020.5s 265 Applying LS move: opt=2opt*, delta=-26.5793, current_len=4
4020.5s 266 Applying LS move: opt=2opt*, delta=-24.8970, current_len=4
4020.5s 267 Applying LS move: opt=2exchange, delta=-22.0354, current_len=4
4020.8s 268 Applying LS move: opt=2opt*, delta=-15.4670, current_len=4
4020.8s 269 Applying LS move: opt=oropt_single, delta=-37.6925, current_len=4
4020.8s 270 Applying LS move: opt=2opt*, delta=-14.0192, current_len=4
